number,account,priority,sys_created_on,state,short_description,description,sys_updated_on,assignment_group,assigned_to,product,resolved_at,sys_mod_count,u_problem,SLA_task,SLA_Business_Time_seconds,SLA_Duration_seconds,SLA_Business_Time,SLA_Duration,trend,trend_auto
CS1721176,South Tees Hospitals NHS Foundation Trust,3 - Medium,21/01/2026 11:42:32,Closed,Subject access request,"Hello
The Trust have received a Subject Access Request for an audit on details of access to the patient record and any attendances. Patient = D987796, timeframe - from 01/01/2012 to the date the audit is performed.
Please could this data be provided?
Thanks
Paul",22/01/2026 10:50:40,Acute Care Symphony Support Level 1,Shazad Ishaque,Symphony,22/01/2026 10:15:52,12,,CS1721176,23600.0,81200.0,"6 hrs, 33 mins","22 hrs, 33 mins",Other,Audit / IG / access investigation
CS1721870,Health Service Executive,3 - Medium,22/01/2026 10:34:55,Closed,Patient Showing as Deceased - NAAS,"Clare Larkin calling from NAAS Hospital reporting a patient is showing as deceased and this status needs removing.

Patient: MRN 139540

Clare.larkin@hse.ie
",05/02/2026 12:07:27,Acute Care Symphony Support Level 1,Shazad Ishaque,Symphony,22/01/2026 12:05:56,12,,CS1721870,5461.0,5461.0,"1 hrs, 31 mins","1 hrs, 31 mins",Reporting & Analytics / Reporting,
CS1722975,Mid Yorkshire Teaching NHS Trust,3 - Medium,23/01/2026 15:56:06,Closed,Bed Manager tracking grid needs additional patient removing from the background,The Bed Manager tracking grid has accumulated additional patients in the backend and is running slow again. Please can you run a script to remove these? Screenshot attached. It is showing 51/87 patients on the tracking grid.,06/02/2026 12:33:03,Acute Care Symphony Support Level 1,Sheree Chadwick,Symphony,27/01/2026 16:38:03,20,,CS1722975,56147.0,344147.0,"15 hrs, 35 mins","3 days, 23 hrs, 35 mins",Other,DAD / HL7 / interface messaging
CS1723563,North Cumbria Integrated Care NHS Foundation Trust,3 - Medium,26/01/2026 13:04:46,Closed,Staff unable to upload e-docs,"Some of our staff are having issues uploading e-docs and get the attached error message.

We have checked the permissions and they have full access to e-docs so we are unsure why this isn't working.

The generic account they use has access to Generic - Clinical & Generic - Nursing which has full access to e-docs.
When they use their normal accounts they have CIC- Nurse which has full access to e-docs.

Please can you suggest how we resolve this.",10/02/2026 08:21:48,Acute Care Symphony Support Level 1,Konrad Siddons,Symphony,10/02/2026 08:21:46,25,,CS1723563,18695.0,18695.0,"5 hrs, 11 mins","5 hrs, 11 mins",Other,Audit / IG / access investigation
CS1723601,Mid Yorkshire Teaching NHS Trust,3 - Medium,26/01/2026 13:38:17,Closed,FW: Audit of patient record,"STOP! Unless you are EXPECTING THIS EMAIL do NOT click on any links, or open any attachments. This may be a phishing email that could compromise our security.

Please can you provide an audit for the below on Symphony please?

Thanks.

Aamir Maqsud
Digital Systems Manager
The Mid Yorkshire Teaching NHS Trust
Dewsbury & District Hospital
Halifax Road, Dewsbury,
West Yorkshire, WF13 4HS

From: MOORHOUSE, Martin (MID YORKSHIRE TEACHING NHS TRUST) <martin.moorhouse1@nhs.net>
Sent: 19 January 2026 08:47
To: HORLER, Jason (MID YORKSHIRE TEACHING NHS TRUST) <jason.horler@nhs.net>; MAQSUD, Aamir (MID YORKSHIRE TEACHING NHS TRUST) <aamir.maqsud@nhs.net>; PLYTAITYTE, Sandra (MID YORKSHIRE TEACHING NHS TRUST) <sandra.plytaityte@nhs.net>; WALSH, Jackie (MID YORKSHIRE TEACHING NHS TRUST) <jackie.walsh2@nhs.net>
Subject: Audit of patient record

Dear all,


Can you please provide an audit of the staff members who have accessed the patient record 0442525 from the 14th January 2026 to 18 January 2026





Regards

[MYDS_Logo]
Martin Moorhouse
Information Governance
Manager


Office of Data Protection &
Information Governance
Mid Yorkshire Teaching NHS Trust
Dewsbury & District Hospital
Halifax Road, Dewsbury,
West Yorkshire, WF13 4HS

Book time with MOORHOUSE, Martin (MID YORKSHIRE TEACHING NHS TRUST) <https://urldefense.com/v3/__https://outlook.office.com/bookwithme/user/c42051ec71a54007afa6cf684c40acea@nhs.net?anonymous&ismsaljsauthenabled&ep=pcard__;!!IJLR5QJm7ttc!m2H5MnUzt_QlZ0w5zYGuZAcadaoKET4IopGxxTthxHSprBZLJs4nOGyoqJOXrTgy76G4N6Mp0SwysVrcggUN$>







From: HOWELL, Stacey (MID YORKSHIRE TEACHING NHS TRUST) <stacey.howell1@nhs.net<mailto:stacey.howell1@nhs.net>>
Sent: 19 January 2026 08:28
To: MOORHOUSE, Martin (MID YORKSHIRE TEACHING NHS TRUST) <martin.moorhouse1@nhs.net<mailto:martin.moorhouse1@nhs.net>>
Subject: Re: RE:

Hi Martin

The evening of the 15th January.

Many thanks
Stacey

________________________________
From: MOORHOUSE, Martin (MID YORKSHIRE TEACHING NHS TRUST) <martin.moorhouse1@nhs.net<mailto:martin.moorhouse1@nhs.net>>
Sent: 19 January 2026 08:10
To: HOWELL, Stacey (MID YORKSHIRE TEACHING NHS TRUST) <stacey.howell1@nhs.net<mailto:stacey.howell1@nhs.net>>
Subject: RE:


Hi Stacey,



Do you know the date of the incident? And we will audit from the day before to today



Martin



From: HOWELL, Stacey (MID YORKSHIRE TEACHING NHS TRUST) <stacey.howell1@nhs.net<mailto:stacey.howell1@nhs.net>>
Sent: 16 January 2026 16:11
To: MOORHOUSE, Martin (MID YORKSHIRE TEACHING NHS TRUST) <martin.moorhouse1@nhs.net<mailto:martin.moorhouse1@nhs.net>>
Subject:
Importance: High



Hi Martin



Following our conversation this morning, I have gained consent from Liam to share his NHS number.



4089390354



Kind regards,

[https://attachments.office.net/owa/stacey.howell1@nhs.net/service.svc/s/GetAttachmentThumbnail?id=AAkALgAAAAAAHYQDEapmEc2byACqAC%2FEWg0AcwJOf3qS10GpknyeXav8fgAFDkXiEgAAARIAEABzqlwJL%2BKbTL2HN9b5EU2E&thumbnailType=2&owa=outlook.office.com&X-OWA-CANARY=X-OWA-CANARY_cookie_is_null_or_empty&token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6InVnWlFaL01Dc3VtYTJsdGFlOTlLRUlPWHlYaz0iLCJ4NXQiOiJ1Z1pRWi9NQ3N1bWEybHRhZTk5S0VJT1h5WGs9Iiwibm9uY2UiOiItT1BzQlREMUNWLWw0c1JlU1g3S2hLT1B1NFBjUGNwY1VSQV90R0swRWNVeksyeS03Vm10alZkOUQ0ZTJXcU91MjNad19JaE55bWVWYVVtTWVjSFFlOU5CcTZBY0ZuU3ZKTGZ0NlV6cWxWdU10QkZpOGEzNDUyaE16Z1l6Q1NVM1p2STZIQTJyT2ZJMmNpMGlwR2gxUlZUUjVWX1Z2VmljTWpJbnBKZEpMNFEiLCJpc3Nsb2MiOiJMTzJQMjY1TUIxNDM3Iiwic3JzbiI6NjM5MDQ0MDMyMTA0NDc3MzkyfQ.eyJzYXAtdmVyc2lvbiI6IjMzIiwiYXBwaWQiOiJhZjNlYmJiYS1jMjNmLTQ5MmEtYWE5My04MzQyMTY5NmVjNGIiLCJpc3NyaW5nIjoiV1ciLCJhcHBpZGFjciI6IjIiLCJhcHBfZGlzcGxheW5hbWUiOiIiLCJ1dGkiOiI1ZjViMzU3Ny1jZjE0LTQwYTgtOTI3Zi04M2EwZTI2MGZhZGQiLCJpYXQiOjE3Njg4MTExNzgsInZlciI6IlNUSS5Vc2VyLkNhbGxiYWNrVG9rZW4uVjEiLCJ0aWQiOiIzN2MzNTRiMjg1YjA0N2Y1YjIyMjA3YjQ4ZDc3NGVlMyIsInRydXN0ZWRmb3JkZWxlZ2F0aW9uIjoiZmFsc2UiLCJ0b3BvbG9neSI6IntcIlR5cGVcIjpcIk1hY2hpbmVcIixcIlZhbHVlXCI6XCJMTzJQMjY1TUIxNDM3LkdCUlAyNjUuUFJPRC5PVVRMT09LLkNPTVwifSIsInJlcXVlc3Rvcl9hcHBpZCI6IjE1N2NkZmJmLTczOTgtNGE1Ni05NmMzLWU5M2U5YWIzMDliNSIsInJlcXVlc3Rvcl9hcHBfZGlzcGxheW5hbWUiOiJPZmZpY2UgMzY1IEV4Y2hhbmdlIE1pY3Jvc2VydmljZSIsInNjcCI6Ik93YUF0dGFjaG1lbnRzLlJlYWQiLCJvaWQiOiIyNjgwZmY4MC0yZDMwLTQxOTAtODdjNS1kZTdkYTQzNTA4MzIiLCJwdWlkIjoiMTAwMzIwMDA3RjU4MzFERSIsInNtdHAiOiJzdGFjZXkuaG93ZWxsMUBuaHMubmV0IiwidXBuIjoic3RhY2V5Lmhvd2VsbDFAbmhzLm5ldCIsInVzZXJjYWxsYmFja3VzZXJjb250ZXh0aWQiOiI3MTE0ZWRhNzU0MWE0MjBiYTlkNTM4ODNjMGVhMTU5ZiIsInNpZ25pbl9zdGF0ZSI6Imttc2kiLCJlbWJlZGRlZHVzZXJ0b2tlbnR5cGUiOiJBQUQiLCJ1c2VyYWNjZXNzdG9rZW4iOiJleUowZVhBaU9pSktWMVFpTENKdWIyNWpaU0k2SW5SUlgyOTVTbTVsWlZWdFptcGxPSGhYV0RKVGREVnNaUzF5VTJSaVpWcFFhREpNYmtzMmRVOUdiMEVpTENKaGJHY2lPaUpTVXpJMU5pSXNJbmcxZENJNklsQmpXRGs0UjFnME1qQlVNVmcyYzBKRWEzcG9VVzF4WjNkTlZTSXNJbXRwWkNJNklsQmpXRGs0UjFnME1qQlVNVmcyYzBKRWEzcG9VVzF4WjNkTlZTSjkuZXlKaGRXUWlPaU]

Stacey Howell

Matron

Emergency Department & UTC



[Smart Phone with solid fill] Mobile - 07714271946

     Ext 56270



Mid Yorkshire Teaching  NHS  Trust




************************************************************************************** ******************************

This message may contain confidential information. If you are not the intended recipient please:
i) inform the sender that you have received the message in error before deleting it; and
ii) do not disclose, copy or distribute information in this e-mail or take any action in relation to its content (to do so is strictly prohibited and may be unlawful).
Thank you for your co-operation.

NHS.net Connect is the secure email, collaboration and directory service available for all NHS staff in England. NHS.net Connect is approved for exchanging patient data and other sensitive information with NHS.net Connect and other accredited email services.

For more information and to find out how you can switch visit Joining NHS.net Connect - NHS.net Connect Support<https://urldefense.com/v3/__https://support.nhs.net/article-categories/joining-nhsmail/__;!!IJLR5QJm7ttc!m2H5MnUzt_QlZ0w5zYGuZAcadaoKET4IopGxxTthxHSprBZLJs4nOGyoqJOXrTgy76G4N6Mp0SwysfOe7oBu$>",11/02/2026 12:25:27,Acute Care Symphony Support Level 1,Shazad Ishaque,Symphony,28/01/2026 12:24:56,17,,CS1723601,53199.0,168399.0,"14 hrs, 46 mins","1 days, 22 hrs, 46 mins",Notifications & Communications / Email,
CS1723630,Leeds Teaching Hospitals NHS Trust,3 - Medium,26/01/2026 14:02:16,Closed,Interface error,"From Richard Cannon LTH Intergration:

I may have found the problem as the Stored Proc dbo. GetYASPatient is now returning the following error 
 
Msg 8171, Level 16, State 2, Procedure YAS_Patients, Line 8 [Batch Start Line 2]
Hint 'noexpand' on object 'dbo.YAS_PatientsInner' is invalid.
Msg 4413, Level 16, State 1, Procedure dbo.GetYASPatient, Line 20 [Batch Start Line 2]
Could not use view or function 'dbo.YAS_Patients' because of binding errors.

its a SP on their Database which we wrote for them to create. We had issues around the last upgrade with probably the same error i think but we fixed it. It looks like its reverted back pre-October",13/02/2026 14:51:29,Acute Care Symphony Support Level 2,Carlos Berrios,Symphony,30/01/2026 14:50:22,24,,CS1723630,146368.0,276519.0,"1 days, 16 hrs, 39 mins","3 days, 4 hrs, 48 mins",Other,DAD / HL7 / interface messaging
CS1723745,Swansea Bay University Health Board,3 - Medium,26/01/2026 15:30:38,Closed,Omnicell and MPI DAD outbound messages queued,"Omnicell and MPI DAD outbound messages queued since 24/1/26, please can a DAD restart be performed.",10/02/2026 10:51:28,Acute Care Symphony Support Level 1,Konrad Siddons,Symphony,27/01/2026 10:50:44,18,,CS1723745,8594.0,10516.0,"2 hrs, 23 mins","2 hrs, 55 mins",Other,DAD / HL7 / interface messaging
CS1723826,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,3 - Medium,26/01/2026 16:42:01,Closed,CTM alert messages queued ,CTM alert messages queued ,09/02/2026 17:13:26,Acute Care Symphony Support Level 1,Sheree Chadwick,Symphony,26/01/2026 17:11:35,10,,CS1723826,1079.0,1774.0,17 mins,29 mins,Other,DAD / HL7 / interface messaging
CS1724856,Gibraltar Health Authority (GHA),3 - Medium,27/01/2026 20:47:54,Closed,Symphony wont load,Symphony would not load kept asking for the DB name,12/02/2026 12:19:26,Acute Care Symphony Support Level 1,Sheree Chadwick,Symphony,29/01/2026 12:18:18,11,,CS1724856,27904.0,71830.0,"7 hrs, 45 mins","19 hrs, 57 mins",Other,
CS1724887,Torbay and South Devon NHS Foundation Trust,3 - Medium,28/01/2026 08:50:39,Closed,Unable to log in to Symphony,"Any users already logged in to Symphony are still in but anyone trying to log in is unable to, just gets stuck on preparing at all hospitals.

ED have had to go to business cont.

Many thanks
Dani",17/02/2026 13:51:28,Acute Care Symphony Support Level 1,Gareth Evans,Symphony,03/02/2026 13:49:58,50,,CS1724887,38360.0,96620.0,"10 hrs, 39 mins","1 days, 2 hrs, 50 mins",Other,DAD / HL7 / interface messaging
CS1725163,Wye Valley NHS Trust,3 - Medium,28/01/2026 11:39:55,Closed,Sending messages to Maxims medical tracker,Patient not appearing on medical tracker due to a symphony error,09/02/2026 12:47:52,Acute Care Symphony Support Level 1,Shazad Ishaque,Symphony,30/01/2026 16:56:27,17,,CS1725163,1188.0,1188.0,19 mins,19 mins,Other,DAD / HL7 / interface messaging
CS1726859,Mid Yorkshire Teaching NHS Trust,3 - Medium,30/01/2026 14:56:58,Closed,FW: Our ref: PE107366   FW: Possible Unauthorised Records Access 438 359 0039,"STOP! Unless you are EXPECTING THIS EMAIL do NOT click on any links, or open any attachments. This may be a phishing email that could compromise our security.

Please can you provide an audit on Symphony for below?

Thanks.

Aamir Maqsud
Digital Systems Manager
The Mid Yorkshire Teaching NHS Trust
Dewsbury & District Hospital
Halifax Road, Dewsbury,
West Yorkshire, WF13 4HS

From: MOORHOUSE, Martin (MID YORKSHIRE TEACHING NHS TRUST) <martin.moorhouse1@nhs.net>
Sent: 29 January 2026 11:05
To: HORLER, Jason (MID YORKSHIRE TEACHING NHS TRUST) <jason.horler@nhs.net>; CINNAMON, Gareth (MID YORKSHIRE TEACHING NHS TRUST) <gareth.cinnamon@nhs.net>; PLYTAITYTE, Sandra (MID YORKSHIRE TEACHING NHS TRUST) <sandra.plytaityte@nhs.net>; WALSH, Jackie (MID YORKSHIRE TEACHING NHS TRUST) <jackie.walsh2@nhs.net>; MAQSUD, Aamir (MID YORKSHIRE TEACHING NHS TRUST) <aamir.maqsud@nhs.net>
Subject: Fw: Our ref: PE107366 FW: Possible Unauthorised Records Access 438 359 0039

Good morning all,


Can you run and audit of your systems to see if the staff member Isla Shackleton has accessed patient unit no: 1498190







Regards



[MYDS_Logo]

Martin Moorhouse

Information Governance
Manager





Office of Data Protection &
Information Governance
Mid Yorkshire Teaching NHS Trust

Dewsbury & District Hospital

Halifax Road, Dewsbury,

West Yorkshire, WF13 4HS



Book time with MOORHOUSE, Martin (MID YORKSHIRE TEACHING NHS TRUST) <https://urldefense.com/v3/__https://outlook.office.com/bookwithme/user/c42051ec71a54007afa6cf684c40acea@nhs.net?anonymous&ismsaljsauthenabled&ep=pcard__;!!IJLR5QJm7ttc!kBUa4pKcjtQmA6JBlfhlR0PM1efRA0WLJaRbcZO1ce3zmK5Xjcf_fgkt1-qiKqxyCcbY44kVSzsXCzNGSQ8G$>






________________________________
From: PALSMIDYORKS (MID YORKSHIRE TEACHING NHS TRUST) <myh-tr.palsmidyorks@nhs.net<mailto:myh-tr.palsmidyorks@nhs.net>>
Sent: 29 January 2026 10:59 AM
To: MOORHOUSE, Martin (MID YORKSHIRE TEACHING NHS TRUST) <martin.moorhouse1@nhs.net<mailto:martin.moorhouse1@nhs.net>>; IGMIDYORKS (MID YORKSHIRE TEACHING NHS TRUST) <midyorks.ig@nhs.net<mailto:midyorks.ig@nhs.net>>
Subject: Our ref: PE107366 FW: Possible Unauthorised Records Access 438 359 0039


Hi Martin



Please could you see the below - are you able to look into this and do I need to obtain the patient's consent (first) as the concern has come in from the son?

Patient unit no: 1498190



Many thanks



Amanda



Amanda Prout | Deputy PALS & Complaints Manager

The Mid Yorkshire Teaching NHS Trust | Pinderfields Hospital | Aberford Road | Wakefield | WF1 4DG | 01924 542972

Extension 57480

Available via Teams








************************************************************************************** ******************************

This message may contain confidential information. If you are not the intended recipient please:
i) inform the sender that you have received the message in error before deleting it; and
ii) do not disclose, copy or distribute information in this e-mail or take any action in relation to its content (to do so is strictly prohibited and may be unlawful).
Thank you for your co-operation.

NHS.net Connect is the secure email, collaboration and directory service available for all NHS staff in England. NHS.net Connect is approved for exchanging patient data and other sensitive information with NHS.net Connect and other accredited email services.

For more information and to find out how you can switch visit Joining NHS.net Connect - NHS.net Connect Support<https://urldefense.com/v3/__https://support.nhs.net/article-categories/joining-nhsmail/__;!!IJLR5QJm7ttc!kBUa4pKcjtQmA6JBlfhlR0PM1efRA0WLJaRbcZO1ce3zmK5Xjcf_fgkt1-qiKqxyCcbY44kVSzsXCyacxgzl$>",06/02/2026 12:31:52,Acute Care Symphony Support Level 1,Shazad Ishaque,Symphony,02/02/2026 15:38:37,12,,CS1726859,31299.0,261699.0,"8 hrs, 41 mins","3 days, 41 mins",Notifications & Communications / Email,
CS1727058,Mid Yorkshire Teaching NHS Trust,3 - Medium,02/02/2026 07:24:31,Closed,MidYorks: HL7 PAS Messages queueing: Symphony,"Dear Sir/Madam


HL7 PAS messages to Symphony are queuing – we are passing to:


Server: SVCSYMPHONYDAD     Port: 9010


The messages commenced queuing yesterday (01/02).


Please can you investigate and resolve at the earliest opportunity?


Greatly appreciated.


Regards
Waheed",16/02/2026 10:19:29,Acute Care Symphony Support Level 1,Shazad Ishaque,Symphony,02/02/2026 10:18:27,14,,CS1727058,4707.0,9131.0,"1 hrs, 18 mins","2 hrs, 32 mins",Other,DAD / HL7 / interface messaging
CS1727069,Western Sussex Hospitals NHS Trust,3 - Medium,02/02/2026 08:13:38,Closed,A04 System Error,"Morning,

I have an A04 outbound message for Worthing ED that I cannot clear, which throws up the following error.

DATETIME: 02-Feb-2026 08:11:41|| DESCRIPTION: Invalid use of Null|| SOURCE: FWDADQueMsg|| COMPONENT: FWDADQueMsg|| ERRORNO: 94|| PROCEDURE: FWDADQueue.PopulateObject|| CODEBLOCK: || USFMESSAGE:  || APPLICATION: Symphony Version 2|| ATTENDANCENO: || PATIENTID: || PCNAME: UHSL02131|| SERVERNAME: RYREMISSQL1-AG1.sussex.nhs.uk|| LOGGEDUSER: PopeR|| SITE: UHSussex LIVE|| BUILDNO: 3.1.1.6|| OS:  Version 6.2 Build 9200 || DBTYPE: || DBVERSION: 3.1.1|| MDACVERSION: 10.0||",16/02/2026 13:37:30,Acute Care Symphony Support Level 1,Shazad Ishaque,Symphony,02/02/2026 13:35:41,22,,CS1727069,15746.0,18198.0,"4 hrs, 22 mins","5 hrs, 3 mins",Other,DAD / HL7 / interface messaging
