"number","account","priority","sys_created_on","state","short_description","description","sys_updated_on","sys_updated_by","assignment_group","assigned_to","product","resolved_at","sys_mod_count","u_problem","close_notes"
"CS1640366","Mid Yorkshire Teaching NHS Trust","2 - High","29/08/2025 08:28:09","Closed","Restart DAD for Symphony messaging","Good morning, 

Are you able to restart the DAD server please? As  messaging between eCamis & Symphony is not flowing we have around 18 patients who's DOD is missing in Symphony.

These are the PMI numbers for patients
3492061
7770481
1439860
1406668
0059808
3625508
0290354
3143191
3255384
7108358
1393562
0093093
1563149
1427841
0479145
1437281
1380081
2101207","05/09/2025 10:51:32","system","Acute Care Symphony Support Level 1","Shazad Ishaque","Symphony","29/08/2025 11:20:35","16","","Hello Reena,
 
I'm pleased to let you know that we've found a resolution for your case CS1640366.

We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Shazad"
"CS1642757","Swansea Bay University Health Board","2 - High","02/09/2025 11:33:19","Closed","DAD outbound messages queuing","DAD outbound messages are queuing since this morning, info is not sending to omnicell and causing delays in department","02/09/2025 14:44:48","system","Acute Care Symphony Support Level 1","Gareth Evans","Symphony","02/09/2025 13:15:49","12","","Hello Yvette,
 
I'm pleased to let you know that we've found a resolution for your case CS1642757.
 
To resolve this, I restarted DAD and watched the queue clear down.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Gareth"
"CS1643400","North West Anglia NHS Foundation Trust","3 - Medium","03/09/2025 10:21:16","Closed","SCR/CPIS attendance (possible performance)","Morning
can you please restart the services that run the checks at attendance?
CS1631603
jboss, iis, dad - i think from memory

getting quite a few issues from ED about performance, but only tangible thing so far is this - after doing this we'll check with them about anything else

As its every attendance they're urgently telling us there are people out the door 'panic' if you would asap please.
thanks muchly","18/09/2025 08:19:27","system","Acute Care Symphony Support Level 1","Gareth Evans","Symphony","04/09/2025 08:19:03","20","","Hello Lee,
 
Thanks for confirming that we've resolved your case CS1643400.
 
To resolve this, I restarted DAD, JBoss and IIS.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Gareth"
"CS1643932","North Cumbria Integrated Care NHS Foundation Trust","3 - Medium","03/09/2025 16:30:56","Closed","Error Message when loading DEP Config","Hi , 

I am getting the below and attached error message when trying to load DEP Config for our LIVE database. 

If I bypass the error message I can log into the config but it expands each DEP and opens up every field.

I have noticed on my most recent log in, that on DEP Config it appears as if the outcome part of the 'Interventions' DEP has gone missing. This isn't reflected on the live system. This was one of the fields that my colleague recently made a config change to as well, I am wondering if it could be related to that DEP?

Are you able to investigate and advise? This crash has occurred midway through rolling out some changes in LIVE so ideally we need this investigated quickly. I am cautious to attempt to make further changes when we are getting these errors. 


DATETIME: 03-Sep-2025 15:42:40|| DESCRIPTION: Object variable or With block variable not set|| SOURCE: DEPConfig|| COMPONENT: DEPConfig|| ERRORNO: 91|| PROCEDURE: frmMain.AddField|| CODEBLOCK:  || USFMESSAGE:  || APPLICATION: Symphony DEP Config|| ATTENDANCENO: || PATIENTID: || PCNAME: NCIC-AE-DAD01|| SERVERNAME: NCICSQLSL02|| LOGGEDUSER: robbie.morley|| SITE: NCIC|| BUILDNO: 3.1.1|| OS:  Version 6.2 Build 9200 || DBTYPE: || DBVERSION: 3.1.1|| MDACVERSION: ||","30/03/2026 14:59:03","Sheree.Chadwick@emishealth.com","Acute Care Symphony Support Level 1","Konrad Siddons","Symphony","04/09/2025 09:50:47","15","","Hello Robbie,
 
I'm pleased to let you know that we've found a resolution for your case CS1643932.
 
To resolve this:

There was a duplicate entry in the CFG_Deffields table causing the error you reported.
We have removed this and the error no longer appears; the DEP Config loads correctly without the previous appearance of all DEP s being expanded.

We would advise when making DEP Config changes that you click on a different DEP to that you have been working in before Saving and Exiting.
This has been found to reduce the chances of any similar anomalies arising when adding or updating config.

If there still remains and issue with the Interventions' DEP, please raise a new case for that to be investigated.

Many thanks
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
"CS1644097","University Hospital Southampton NHS Foundation Trust","3 - Medium","04/09/2025 09:39:29","Closed","Outbound Failure DAD Messague Queue","Good Morning,

In our daily checks this morning we found six items stuck in the outbound queue    eDocs v2.0 - Attendance ID + new footer (6) with queued and suspended status for over 24 hours.

Please have you look into this.

Many thanks
Ashley | EPR","05/09/2025 12:58:45","system","Acute Care Symphony Support Level 1","Gareth Evans","Symphony","04/09/2025 11:36:42","11","","Hello Ashley,
 
I'm pleased to let you know that we've found a resolution for your case CS1644097.
 
To resolve this, I've restarted the DAD service, re-queued those messages and confirmed that they are no longer in the queue.

We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Gareth"
"CS1644520","Swansea Bay University Health Board","3 - Medium","04/09/2025 14:24:25","Closed","DAD outbound messages queued","DAD outbound messages are queued since this morning, may need DAD restart","18/09/2025 16:09:28","system","Acute Care Symphony Support Level 1","Shazad Ishaque","Symphony","04/09/2025 16:08:07","16","","Hello Yvette,
 
I'm pleased to let you know that we've found a resolution for your case CS1644520.

We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Shazad"
"CS1644865","Children's Health Ireland","3 - Medium","05/09/2025 09:50:20","Closed","Issues with DAD","We are frequently having to restart the DAD every week, the reason being that patients are not intrerfacing with symphony once messages are sent to the DAD. Once restarted the messages come through.","16/09/2025 14:58:19","system","Acute Care Symphony Support Level 1","Konrad Siddons","Symphony","16/09/2025 13:40:11","21","","Hello Adrian,
 
I'm pleased to let you know that we've found a resolution for your case CS1644865.
 
To resolve this:

We have checked the Symphonydad.log file and Windows Event Viewer again for 11/09/26 and there is nothing of any relevance recorded.
We have also checked message processing for that day and there appears no actual interruption in the flow of the PMI Inbound patient data) message processing.

As we advised previously, you continue to use the Symphony.exe Application version of the DAD Interface.
This can sometimes appear to fail where there are network issues locally (this has been previously the case within CHI), or where there is any period of inactivity from the PAS end of the interface the DAD can appear to 'trip'.
The Application version can be sensitive to the performance and status of the DAD server and how long it has been running since last  rebooted and Windows updates applied.  We recommend this be done every month or 2at least.

There are no signs of any specific connection rejections for 11/05/25.
We are throughout assuming that you are logging onto the DAD server using the account  HEALTHIRL\CHISymphonyDAD and are starting the interface using the  account SYMPHONYDAD.
If  using another account may well cause issues with processing.

In either case. before restating the DAD it is always advised that you first ensure it is stopped. This can be checked and achieved via Task Manager, ending the task FWDADServWkr.exe (if running) followed by SymponDAD.exe.
Then restart the DAD.

If you are using an Integration Engine (TIE) between the Symphony end of the interface and the PAS end, we would advise having that checked, as we at Optum do not support it and possibly monitored in case this is causing issues with Interface performance or connectivity. Likewise your local Network generally.

Overall, we would suggest if this situation is ongoing that you raise a request for us to scope, configure and enable the Windows Service version of the DAD interface to take over from the Application version.
The Service tends to be more robust and less likely to fail.

I hope this helps.

Many thanks


 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
"CS1646405","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","2 - High","09/09/2025 08:22:55","Closed","DAD restart","CAMIS TEam advised Live DAD Interface required restart.","23/09/2025 09:07:26","system","Acute Care Symphony Support Level 1","Konrad Siddons","Symphony","09/09/2025 09:05:39","5","","Hello Laura,
 
I'm pleased to let you know that we've found a resolution for your case CS1646405.
 
To resolve this:

The DAD interface was successfully restarted.
CAMIS Team report that all queues are now cleared which is also the case in Symphony.

Many thanks, 

We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
"CS1646731","Swansea Bay University Health Board","3 - Medium","09/09/2025 11:35:30","Closed","DAD outbound messages queued","DAD outbound messages are queued, please can DAD be restarted.","25/09/2025 13:05:27","system","Acute Care Symphony Support Level 2","Sheree Chadwick","Symphony","11/09/2025 13:05:01","32","","Hello Yvette,
 
I'm pleased to let you know that we've found a resolution for your case CS1646731.
 
To resolve this, Messages have now processed
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Sheree"
"CS1647685","Western Sussex Hospitals NHS Trust","4 - Low","10/09/2025 13:07:28","Closed","Number of connections to  a Symphony Port for HL7 Messages","Hello, Please could you confirm how many connections can be made to a single port for sending HL7 messages to the Symphony DAD? E.g. can we have multiple connections for sending results to port 9004?
Kind regards, Kit","22/09/2025 10:39:24","system","Acute Care Symphony Support Level 1","Gareth Evans","Symphony","12/09/2025 10:18:33","12","","Hello Kit,
 
I'm pleased to let you know that we've found a resolution for your case CS1647685.
 
To resolve this, I gave the requested information.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Gareth"
"CS1648011","Wye Valley NHS Trust","3 - Medium","11/09/2025 06:52:43","Closed","A&E Comm Point Down","Please restart DAD","25/09/2025 10:13:32","system","Acute Care Symphony Support Level 1","Konrad Siddons","Symphony","11/09/2025 10:12:06","17","","Hello Richard,
 
I'm pleased to let you know that we've found a resolution for your case CS1648011.
 
To resolve this:

The DAD Interface has been restarted as requested, following the server being rebooted some 5 hours ago.

All outbound queues are now cleared.

Many thanks
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
"CS1648114","University Hospital Southampton NHS Foundation Trust","3 - Medium","11/09/2025 09:28:12","Closed","Symphony DAD message  queue Outbound  failure","Good Morning 

As part of our systems checks, there are some messages stuck in outbound DAD queue in Symphony.  

Please can you have  a look?

Edocs v2.0 Attendance ID queue

see the screenshot attached.

Best,

Kind Regards
Ashley | EPR","18/09/2025 10:16:53","ashley.carbino@uhs.nhs.uk","Acute Care Symphony Support Level 1","Konrad Siddons","Symphony","12/09/2025 11:51:00","10","","Hello Ashley,
 
I'm pleased to let you know that we've found a resolution for your case CS1648114.
 
To resolve this:

There appeared to be an intermittent issue with the TCP-IP connection for the eDocs DAD service.
This seems to have been rectified by performing a DAD restart and requeing any Suspended messages..
The outbound messages showing as Suspended in your initial screenshot have now been successfully processed that the eDocs queue is clear.

Many thanks
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
"CS1648858","Wye Valley NHS Trust","2 - High","12/09/2025 09:03:27","Closed","DAD Restart","Rachel called to request DAD restart as patients are not coming across on the interface","15/09/2025 10:33:56","rachel.price@wvt.nhs.uk","Acute Care Symphony Support Level 1","Konrad Siddons","Symphony","12/09/2025 13:32:24","7","","Hello Rachel,
 
I'm pleased to let you know that we've found a resolution for your case CS1648858.
 :
As previously discussed, the DAD interface was successfully carried out soon after you called.
As agreed, having heard no more from you since, I have now set this case to resolved.

Many thanks

 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
"CS1649595","University Hospital Southampton NHS Foundation Trust","3 - Medium","15/09/2025 09:18:09","Closed","Stuck Messages in DAB Outbound Queue. ","Hi, Please see attached screenshot showing messages that are stuck in our DAD outbound queue.  Re-queueing them has not helped as they default back to suspended shortly after.  Please assist us with clearing these messages.

Many thanks.","16/09/2025 14:46:34","Susan.Bradshaw@uhs.nhs.uk","Acute Care Symphony Support Level 1","Shazad Ishaque","Symphony","16/09/2025 14:41:08","12","","Hello Susan,
 
I'm pleased to let you know that we've found a resolution for your case CS1649595.

We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Shazad"
"CS1650129","Bedford Hospital NHS Trust","4 - Low","15/09/2025 14:06:48","Closed","Symphony Test Interop not working to Bedford Test ICE","Hi Support,

Not sure i have chosen the correct subject.

I am trying to interop from Bedford Test Symphony to Bedford Test ICE and I am getting this error message:

DATETIME: 15-Sep-2025 14:04:00|| DESCRIPTION: Method '~' of object '~' failed|| SOURCE: FWDADServUI|| COMPONENT: FWDADServUI|| ERRORNO: -2147417851|| PROCEDURE: FWDADSCM.Run|| CODEBLOCK: Error calling worker start method|| USFMESSAGE:  || APPLICATION: Symphony Version 2|| ATTENDANCENO: || PATIENTID: || PCNAME: BHCMY74M3|| SERVERNAME: BEDSQLSYMT03|| LOGGEDUSER: JClavey|| SITE: Bedford Hospital NHS Trust|| BUILDNO: 2.39.1|| OS:  Version 6.2 Build 9200 || DBTYPE: || DBVERSION: 2.39.1|| MDACVERSION: 10.0||
 
Yet on the patient screen it is showing I have tried to raise a test.","15/10/2025 02:55:27","system","Acute Care Symphony Support Level 1","Konrad Siddons","Symphony","01/10/2025 02:54:28","16","","Hi,

I'm getting in touch regarding your case CS1650129 which you raised on 15/09/2025 14:06:48 regarding Symphony.

We have tried to contact you but unfortunately, we have been unable to speak with you. I'd really like to help you resolve this issue but I am unable to investigate your case without receiving further information.

If this issue is still occurring, please use the red 'Reject Solution' button so we are able to further investigate this issue for you.

I look forward to hearing from you.

Kind regards,
Optum"
"CS1651867","South Tees Hospitals NHS Foundation Trust","2 - High","17/09/2025 15:24:56","Closed","CTM Alert","CAMIS Team reported a suspected DAD failure and requested restart.","17/09/2025 16:38:37","paul.saunders2@nhs.net","Acute Care Symphony Support Level 1","Konrad Siddons","Symphony","17/09/2025 15:27:35","5","","Hello Paul,
 
I'm pleased to let you know that we've found a resolution for your case CS1651867.
 
To resolve this:

The Live DAD Interface as successfully restarted and the CAMIS Team have confirmed all queues are now clear - this is also the case for outbound Symphony queues.

Many thanks.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
